name_restaurant,direction,amount_ratings,amount_ratings_excellent,amount_ratings_vgood,amount_ratings_average,amount_ratings_poor,amount_ratings_terrible,price_range,category_1,category_2,category_3
"BenCotto, Boston","361 Hanover St, Boston, MA 02113-1910",(162),96,34,10,6,7,$$ - $$$,Italian,Pizza,Vegetarian Friendly
"M. J. O'Connor's Irish Pub, Boston","27 Columbus Ave, Boston, MA 02116-3907",(537),166,202,105,22,11,$$ - $$$,American,Irish,Vegetarian Friendly
"Pier 6, Boston","1 8th St, Boston, MA 02129-4206",(284),103,92,33,13,12,$$ - $$$,American,Bar,Seafood
"Champions, Boston","110 Huntington Avenue Boston Marriott Copley Place, Boston, MA 02116",(408),131,144,68,18,15,$$ - $$$,American,Bar,Vegetarian Friendly
"Fin Point, Boston","89 Broad St, Boston, MA 02110-3509",(182),94,51,16,12,4,$$ - $$$,American,Bar,Seafood
"Mother Anna's, Boston","211 Hanover St, Boston, MA 02113-2309",(350),166,102,29,19,18,$$ - $$$,Italian,Vegetarian Friendly,
"Kings Dining & Entertainment Back Bay, Boston","50 Dalton St, Boston, MA 02115-3129",(156),108,27,5,2,5,$$ - $$$,American,Bar,Gastropub
"CLINK., Boston","215 Charles St The Liberty Hotel, Boston, MA 02114-3001",(450),147,166,89,24,8,$$$$,American,Vegetarian Friendly,Vegan Options
"Stoddard's Fine Food & Ale, Boston","48 Temple Place, Boston, MA 02111-1306",(290),112,108,40,11,8,$$ - $$$,American,Bar,Pub
"Marliave Restaurant, Boston","10 Bosworth St, Boston, MA 02108-4102",(514),201,199,56,19,11,$$ - $$$,French,American,Vegetarian Friendly
"KAVA neo-taverna, Boston","315 Shawmut Ave, Boston, MA 02118-2112",(90),66,16,5,0,2,$$ - $$$,Greek,Vegetarian Friendly,Vegan Options
"Cheers Beacon Hill, Boston","84 Beacon St, Boston, MA 02108-3421","(2,954)",897,"1,010",565,132,78,$$ - $$$,American,Bar,Pub
"State Street Provisions, Boston","255 State St, Boston, MA 02109-2617",(251),105,88,26,15,8,$$ - $$$,American,Bar,Seafood
"The Breakfast Club, Boston","270 Western Ave, Boston, MA 02134-1034",(141),79,39,9,4,2,$,American,Cafe,Diner
"Red Lantern, Boston","39 Stanhope St, Boston, MA 02116-5111",(341),130,115,45,11,14,$$ - $$$,Japanese,Sushi,Asian
"Barracuda Tavern, Boston","15 Bosworth St, Boston, MA 02108-4102",(245),121,82,21,5,8,$$ - $$$,American,Bar,Pub
"Bar Mezzana, Boston","360 Harrison Ave Boston, MA, Boston, MA 02118-2237",(161),93,31,22,4,2,$$ - $$$,Italian,Seafood,Mediterranean
"Euno, Boston","119 Salem St, Boston, MA 02113-1728",(221),133,49,13,5,12,$$ - $$$,Italian,Tuscan,Central-Italian
"Giacomo's Restaurant, Boston","431 Columbus Ave, Boston, MA 02116-5958",(384),207,96,28,17,22,$$ - $$$,Italian,Vegetarian Friendly,
